pair,x,y,z,offset,residue,data_number,baseline
E1W2,-194.43028477586446,-106.59908754686344,6.386504386858462,24.377310958516077,[2.26090684e-09],5,221.8271591625583
E1W2,-192.94746216322088,3.7435938719130046,8.672651970898855,12.7254002796315,[],2,193.17855093802137
E1W2,-194.40451309882414,-106.61517228189624,5.868558934405257,24.889417275818587,[],4,221.7979929076363
E1W2,-194.4092760231135,-106.61879565115021,6.409316145921309,24.34910962344385,[5.7464596e-09],6,221.81887548942095
E1W2,-175.18435532165574,-91.37748825071378,-37.65230912373265,69.23053446246038,[],3,201.13950405333753
E1W2,-165.66790987916886,-127.30143965701082,-43.61316273977626,22.037424268121242,[],2,213.43294231829864
E1W2,-119.399758548043,53.30884561457735,20.895994525715864,28.888227720504602,[],2,132.41894860369703
E1W2,4.352724490933799,-9.034531952082927,15.041424292481684,18.077981713499998,[],1,18.0779817135
E1W2,-0.00548183462545726,-0.14008509741175793,-0.48763627990642117,-0.5073884375000046,[],1,0.5073884375000046
E1W2,-195.31979478165343,-102.1301371702207,-0.841309580747776,32.80880536117708,[],3,220.41119516432454
E1W2,-185.91480084425703,-106.78448460870281,38.92472335275771,-8.85607796923287,[],3,217.904505263647
E2W1,-245.46449324605453,-53.39699454662554,-7.987146485117279,-3.60000096909706,[1.64714271e-08],6,251.3321526986339
E2W1,-5.135691029447376,10.65966035714197,-17.74707036246115,-21.329842656000004,[],1,21.329842656000004
E2W2,-139.48473287099694,-70.37830065670602,3.2612205361849043,35.03727139697163,[1.39242595e-08],6,156.26813964082606
E2W2,-142.55255835889176,-21.82917801399789,-24.205035996495155,33.799757687343444,[],2,146.23142164057518
E2W2,-139.46812590208557,-70.39893990029111,3.290379312976718,34.998619878306734,[2.18095108e-10],8,156.2632249691144
E2W2,4.440424867954917,-24.508965411707187,24.043268393289654,34.61914952149999,[],1,34.61914952149999
E2W2,-79.89937896009144,-110.26978549012122,18.60699659317246,-2.060846302793898,[],2,137.43928358538537
E2W2,4.736048260543466,-9.830160265279579,16.366051080164166,19.670023688999994,[],1,19.670023688999994
E2W2,-111.92213534468209,29.06746208060536,16.23754337382333,0.4625558910187948,[],2,116.76960026795314
E2W2,0.09310295006547342,2.3791917707032075,8.28196750179298,8.617436239499995,[],1,8.617436239499995
E2W2,-139.4865282294208,-70.38038527687307,3.2631126888536777,35.03630571557272,[7.90385973e-08],42,156.2707205257538
E2W2,-138.98731173234802,-72.904667299941,7.344808108642766,30.27660691814323,[],3,157.11941173150043
W1W2,105.97976037505757,-16.981306110080286,11.248367021300425,38.63727236607036,[4.96317695e-10],6,107.91941496785807
W1W2,-0.6102879851040157,6.196039932516204,19.576794497746675,20.542985301000005,[],1,20.542985301000005
W1W2,105.9773449006376,-16.98916960619353,11.249733728929456,38.6351678707507,[],4,107.91842301047825
W1W2,102.18423997622696,-6.757813335160272,34.38471460095795,13.424162772209485,[],3,108.02590216601452
W1W2,105.97879514290035,-16.983523746984552,11.26399848358734,38.62229305134133,[9.085497e-11],5,107.92044644386664
W1W2,28.29909616262123,-45.32760401684848,41.92753705178552,18.516964187940495,[],2,67.92163788336048
W1W2,105.9782774681036,-16.986722226951997,11.259322172974088,38.625315298510614,[1.35173892e-09],13,107.91995349756598
W1W2,64.69107907858671,15.846955641630725,56.11146491267601,21.95154329709654,[],2,87.08936909925484
W1W2,105.97872471695491,-16.98758184978569,11.258506136443213,38.62645622390754,[8.39633663e-09],5,107.92044287418213
W1W2,91.40794244405328,-45.830359186525314,25.9182113168483,21.02363994535058,[],2,105.48738049115678
W1W2,1.0051863988855345,9.096077885800137,21.61797843931273,23.4752214985,[],1,23.475221498500005
W1W2,105.97921040799663,-16.98668375987716,11.258570663783479,38.625976008049115,[],4,107.92078519567906
W1W2,75.48887292896934,8.52556922612828,55.44462515394832,16.58700504659833,[],2,94.04978322770035
S1E1,125.33088930418589,305.9329437574796,-5.913450140088742,-88.42143551698723,[2.09608528e-08],12,330.66261775782067
S1E1,-98.9437319217416,119.4128257373037,12.341287984439447,-1.6294636902344592,[],2,155.56861002877156
